WorkCode,Uraian,Region,Kolom,"NILAI BENAR (web)","NILAI WORKBOOK",Selisih,"Baris di HSP","Baris blok di AHS"
XIII.21,"Pemasangan Hand Shower + Kran Set per buah",4,HARGA+OH,2561100,2560900,+200,630,11263
XII.19,"Pemasangan Instalasi Manual Push Button per titik",3,MAT,484150,494950,-10800,541,9643
XIII.22,"Pemasangan Hand Shower ex Toto Set per buah",1,MATERIAL+OH,388800,388700,+100,631,11281
XII.19,"Pemasangan Instalasi Manual Push Button per titik",3,JASA,89775,89774,+1,541,9643
XIII.22,"Pemasangan Hand Shower ex Toto Set per buah",2,MAT,338162,338000,+162,631,11281
XII.19,"Pemasangan Instalasi Manual Push Button per titik",3,MATERIAL+OH,556700,569100,-12400,541,9643
XIII.22,"Pemasangan Hand Shower ex Toto Set per buah",2,HARGA+OH,470500,470300,+200,631,11281
XII.19,"Pemasangan Instalasi Manual Push Button per titik",3,HARGA+OH,660000,672400,-12400,541,9643
XIII.22,"Pemasangan Hand Shower ex Toto Set per buah",3,MATERIAL+OH,388800,388700,+100,631,11281
XII.19,"Pemasangan Instalasi Manual Push Button per titik",4,MAT,484150,494950,-10800,541,9643
XIII.22,"Pemasangan Hand Shower ex Toto Set per buah",4,MAT,338162,338000,+162,631,11281
XII.19,"Pemasangan Instalasi Manual Push Button per titik",4,MATERIAL+OH,556700,569100,-12400,541,9643
XIII.22,"Pemasangan Hand Shower ex Toto Set per buah",4,HARGA+OH,457700,457500,+200,631,11281
XII.19,"Pemasangan Instalasi Manual Push Button per titik",4,HARGA+OH,636300,648700,-12400,541,9643
XIII.70,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 6"" (150 mm) per m",1,MATERIAL+OH,356400,345000,+11400,679,12144
XII.20,"Pemasangan Instalasi Alarm Bell per titik",1,MAT,256450,267250,-10800,542,9667
XIII.70,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 6"" (150 mm) per m",2,MAT,309970,300000,+9970,679,12144
XII.20,"Pemasangan Instalasi Alarm Bell per titik",1,MATERIAL+OH,294900,307300,-12400,542,9667
XIII.70,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 6"" (150 mm) per m",2,HARGA+OH,372600,361200,+11400,679,12144
XII.20,"Pemasangan Instalasi Alarm Bell per titik",1,HARGA+OH,386900,399300,-12400,542,9667
XIII.70,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 6"" (150 mm) per m",3,MATERIAL+OH,356400,345000,+11400,679,12144
XII.20,"Pemasangan Instalasi Alarm Bell per titik",2,MAT,256450,267250,-10800,542,9667
XIII.70,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 6"" (150 mm) per m",4,MAT,309970,300000,+9970,679,12144
XII.20,"Pemasangan Instalasi Alarm Bell per titik",2,MATERIAL+OH,294900,307300,-12400,542,9667
XIII.70,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 6"" (150 mm) per m",4,HARGA+OH,369900,358500,+11400,679,12144
XII.20,"Pemasangan Instalasi Alarm Bell per titik",2,HARGA+OH,389700,402200,-12500,542,9667
XIII.71,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 8"" (200 mm) per m",1,MATERIAL+OH,487900,377200,+110700,680,12164
XII.20,"Pemasangan Instalasi Alarm Bell per titik",3,MAT,256450,267250,-10800,542,9667
XIII.71,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 8"" (200 mm) per m",2,MAT,424320,328000,+96320,680,12164
XII.20,"Pemasangan Instalasi Alarm Bell per titik",3,JASA,89775,89774,+1,542,9667
XIII.71,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 8"" (200 mm) per m",2,HARGA+OH,509600,398800,+110800,680,12164
XII.20,"Pemasangan Instalasi Alarm Bell per titik",3,MATERIAL+OH,294900,307300,-12400,542,9667
XIII.71,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 8"" (200 mm) per m",3,MATERIAL+OH,487900,377200,+110700,680,12164
XII.20,"Pemasangan Instalasi Alarm Bell per titik",3,HARGA+OH,398100,410500,-12400,542,9667
XIII.71,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 8"" (200 mm) per m",4,MAT,424320,328000,+96320,680,12164
XII.20,"Pemasangan Instalasi Alarm Bell per titik",4,MAT,256450,267250,-10800,542,9667
XIII.71,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 8"" (200 mm) per m",4,HARGA+OH,506000,395200,+110800,680,12164
XII.20,"Pemasangan Instalasi Alarm Bell per titik",4,MATERIAL+OH,294900,307300,-12400,542,9667
XV.12,"Perkerasan Beton SC 3,8 Mpa (setara f'c 30 Mpa) secara Semi Mekanis per m3",2,MAT,2726387,2726386,+1,749,13369
XII.20,"Pemasangan Instalasi Alarm Bell per titik",4,HARGA+OH,374500,386900,-12400,542,9667
XV.12,"Perkerasan Beton SC 3,8 Mpa (setara f'c 30 Mpa) secara Semi Mekanis per m3",2,JASA+OH,456500,634300,-177800,749,13369
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",1,MAT,484150,494950,-10800,543,9691
XV.12,"Perkerasan Beton SC 3,8 Mpa (setara f'c 30 Mpa) secara Semi Mekanis per m3",3,MAT,2726387,2726386,+1,749,13369
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",1,MATERIAL+OH,556700,569100,-12400,543,9691
XV.12,"Perkerasan Beton SC 3,8 Mpa (setara f'c 30 Mpa) secara Semi Mekanis per m3",3,JASA+OH,466500,637700,-171200,749,13369
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",1,HARGA+OH,648700,661100,-12400,543,9691
XV.12,"Perkerasan Beton SC 3,8 Mpa (setara f'c 30 Mpa) secara Semi Mekanis per m3",4,MAT,2726387,2726386,+1,749,13369
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",2,MAT,484150,494950,-10800,543,9691
XV.12,"Perkerasan Beton SC 3,8 Mpa (setara f'c 30 Mpa) secara Semi Mekanis per m3",4,JASA+OH,406700,577900,-171200,749,13369
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",2,MATERIAL+OH,556700,569100,-12400,543,9691
XV.13,"Perkerasan Beton SC 3,8 Mpa (setara f'c 30 Mpa) Menggunakan Ready Mixed per m3",1,MAT,2111025,2111024,+1,750,13400
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",2,HARGA+OH,651600,664000,-12400,543,9691
XV.13,"Perkerasan Beton SC 3,8 Mpa (setara f'c 30 Mpa) Menggunakan Ready Mixed per m3",3,MAT,2111025,2111024,+1,750,13400
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",3,MAT,484150,494950,-10800,543,9691
XV.35,"Box Culvert 40x40x100 dengan lantai kerja f'c 10 Mpa per m'",2,JASA,180980,67735,+113245,772,13793
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",3,JASA,89775,89774,+1,543,9691
XV.35,"Box Culvert 40x40x100 dengan lantai kerja f'c 10 Mpa per m'",2,HARGA+OH,1269200,1139000,+130200,772,13793
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",3,MATERIAL+OH,556700,569100,-12400,543,9691
XV.35,"Box Culvert 40x40x100 dengan lantai kerja f'c 10 Mpa per m'",3,JASA+OH,213900,83700,+130200,772,13793
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",3,HARGA+OH,660000,672400,-12400,543,9691
XV.35,"Box Culvert 40x40x100 dengan lantai kerja f'c 10 Mpa per m'",4,JASA,169877,56632,+113245,772,13793
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",4,MAT,484150,494950,-10800,543,9691
XV.35,"Box Culvert 40x40x100 dengan lantai kerja f'c 10 Mpa per m'",4,HARGA+OH,1256500,1126200,+130300,772,13793
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",4,MATERIAL+OH,556700,569100,-12400,543,9691
XV.36,"Box Culvert 50x50x100 dengan lantai kerja f'c 10 Mpa per m'",2,JASA+OH,471600,81600,+390000,773,13811
XII.21,"Pemasangan Instalasi Alarm Indicator Bell per titik",4,HARGA+OH,636300,648700,-12400,543,9691
XV.36,"Box Culvert 50x50x100 dengan lantai kerja f'c 10 Mpa per m'",3,JASA,415460,76305,+339155,773,13811
XII.22,"Pemasangan Instalasi Intercom Jack per titik",1,MAT,169396,180196,-10800,544,9715
XV.36,"Box Culvert 50x50x100 dengan lantai kerja f'c 10 Mpa per m'",3,HARGA+OH,1855300,1465300,+390000,773,13811
XII.22,"Pemasangan Instalasi Intercom Jack per titik",1,MATERIAL+OH,194800,207200,-12400,544,9715
XV.36,"Box Culvert 50x50x100 dengan lantai kerja f'c 10 Mpa per m'",4,JASA+OH,458300,68200,+390100,773,13811
XII.22,"Pemasangan Instalasi Intercom Jack per titik",1,HARGA+OH,286800,299200,-12400,544,9715
XV.37,"Box Culvert 60x60x100 dengan lantai kerja f'c 10 Mpa per m'",2,JASA,442599,76619,+365980,774,13829
XII.22,"Pemasangan Instalasi Intercom Jack per titik",2,MAT,169396,180196,-10800,544,9715
XV.37,"Box Culvert 60x60x100 dengan lantai kerja f'c 10 Mpa per m'",2,HARGA+OH,2344200,1923300,+420900,774,13829
XII.22,"Pemasangan Instalasi Intercom Jack per titik",2,MATERIAL+OH,194800,207200,-12400,544,9715
XV.37,"Box Culvert 60x60x100 dengan lantai kerja f'c 10 Mpa per m'",3,JASA+OH,515500,94600,+420900,774,13829
XII.22,"Pemasangan Instalasi Intercom Jack per titik",2,HARGA+OH,289600,302100,-12500,544,9715
XV.37,"Box Culvert 60x60x100 dengan lantai kerja f'c 10 Mpa per m'",4,JASA,430040,64060,+365980,774,13829
XII.22,"Pemasangan Instalasi Intercom Jack per titik",3,MAT,169396,180196,-10800,544,9715
XV.37,"Box Culvert 60x60x100 dengan lantai kerja f'c 10 Mpa per m'",4,HARGA+OH,2329700,1908900,+420800,774,13829
XII.22,"Pemasangan Instalasi Intercom Jack per titik",3,JASA,89775,89774,+1,544,9715
XV.38,"Box Culvert 80x80x100 dengan lantai kerja f'c 10 Mpa per m'",2,JASA+OH,710400,169500,+540900,775,13847
XII.22,"Pemasangan Instalasi Intercom Jack per titik",3,MATERIAL+OH,194800,207200,-12400,544,9715
XV.38,"Box Culvert 80x80x100 dengan lantai kerja f'c 10 Mpa per m'",3,JASA,625209,154829,+470380,775,13847
XII.22,"Pemasangan Instalasi Intercom Jack per titik",3,HARGA+OH,298000,310400,-12400,544,9715
XV.38,"Box Culvert 80x80x100 dengan lantai kerja f'c 10 Mpa per m'",3,HARGA+OH,3796300,3255400,+540900,775,13847
XII.22,"Pemasangan Instalasi Intercom Jack per titik",4,MAT,169396,180196,-10800,544,9715
XV.38,"Box Culvert 80x80x100 dengan lantai kerja f'c 10 Mpa per m'",4,JASA+OH,682200,141200,+541000,775,13847
XII.22,"Pemasangan Instalasi Intercom Jack per titik",4,MATERIAL+OH,194800,207200,-12400,544,9715
XV.39,"Box Culvert 100x100x100 dengan lantai kerja f'c 10 Mpa per m'",2,JASA,876099,209099,+667000,776,13865
XII.22,"Pemasangan Instalasi Intercom Jack per titik",4,HARGA+OH,274400,286800,-12400,544,9715
XV.39,"Box Culvert 100x100x100 dengan lantai kerja f'c 10 Mpa per m'",2,HARGA+OH,4672000,3905000,+767000,776,13865
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",1,MAT,501900,522300,-20400,545,9739
XV.39,"Box Culvert 100x100x100 dengan lantai kerja f'c 10 Mpa per m'",3,JASA+OH,1019500,252500,+767000,776,13865
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",1,MATERIAL+OH,577100,600600,-23500,545,9739
XV.39,"Box Culvert 100x100x100 dengan lantai kerja f'c 10 Mpa per m'",4,JASA,841215,174215,+667000,776,13865
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",1,HARGA+OH,669100,692600,-23500,545,9739
XV.39,"Box Culvert 100x100x100 dengan lantai kerja f'c 10 Mpa per m'",4,HARGA+OH,4631900,3864800,+767100,776,13865
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",2,MAT,501900,522300,-20400,545,9739
XV.40,"Box Culvert 150x150x100 dengan lantai kerja f'c 10 Mpa per m'",2,JASA+OH,1138200,271600,+866600,777,13883
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",2,MATERIAL+OH,577100,600600,-23500,545,9739
XV.40,"Box Culvert 150x150x100 dengan lantai kerja f'c 10 Mpa per m'",3,JASA,1001662,248097,+753565,777,13883
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",2,HARGA+OH,672000,695500,-23500,545,9739
XV.40,"Box Culvert 150x150x100 dengan lantai kerja f'c 10 Mpa per m'",3,HARGA+OH,5471900,4605300,+866600,777,13883
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",3,MAT,501900,522300,-20400,545,9739
XV.40,"Box Culvert 150x150x100 dengan lantai kerja f'c 10 Mpa per m'",4,JASA+OH,1092900,226300,+866600,777,13883
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",3,JASA,89775,89774,+1,545,9739
XV.41,"Box Culvert 200x200x100 dengan lantai kerja f'c 10 Mpa per m'",2,JASA,1357442,465402,+892040,778,13901
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",3,MATERIAL+OH,577100,600600,-23500,545,9739
XV.41,"Box Culvert 200x200x100 dengan lantai kerja f'c 10 Mpa per m'",2,HARGA+OH,6352600,5326800,+1025800,778,13901
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",3,HARGA+OH,680400,703800,-23400,545,9739
XV.41,"Box Culvert 200x200x100 dengan lantai kerja f'c 10 Mpa per m'",3,JASA+OH,1577300,551500,+1025800,778,13901
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",4,MAT,501900,522300,-20400,545,9739
XV.41,"Box Culvert 200x200x100 dengan lantai kerja f'c 10 Mpa per m'",4,JASA,1278712,386672,+892040,778,13901
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",4,MATERIAL+OH,577100,600600,-23500,545,9739
XV.41,"Box Culvert 200x200x100 dengan lantai kerja f'c 10 Mpa per m'",4,HARGA+OH,6262100,5236300,+1025800,778,13901
XII.23,"Pemasangan Instalasi Flow & Tempre Switch per titik",4,HARGA+OH,656700,680200,-23500,545,9739
XVI.14,"Pasang AC Existing 1/2 - 2 PK per Unit",1,MATERIAL+OH,2997200,2188100,+809100,795,14124
XII.45,"Pemasangan Indoor Fix Dome IP Camera per unit",3,JASA,89775,89774,+1,567,10145
XVI.14,"Pasang AC Existing 1/2 - 2 PK per Unit",2,MAT,2606266,1902766,+703500,795,14124
XII.46,"Pemasangan Outdoor Fix Dome IP Camera per unit",3,JASA,89775,89774,+1,568,10163
XVI.14,"Pasang AC Existing 1/2 - 2 PK per Unit",2,HARGA+OH,3502300,2693300,+809000,795,14124
XII.47,"Pemasangan Instalasi Camera CCTV per titik",1,MAT,366200,396200,-30000,569,10181
XVI.14,"Pasang AC Existing 1/2 - 2 PK per Unit",3,MATERIAL+OH,2997200,2188100,+809100,795,14124
XII.47,"Pemasangan Instalasi Camera CCTV per titik",1,MATERIAL+OH,421100,455600,-34500,569,10181
XVI.14,"Pasang AC Existing 1/2 - 2 PK per Unit",4,MAT,2606266,1902766,+703500,795,14124
XII.47,"Pemasangan Instalasi Camera CCTV per titik",1,HARGA+OH,542000,576500,-34500,569,10181
XVI.14,"Pasang AC Existing 1/2 - 2 PK per Unit",4,HARGA+OH,3429100,2620100,+809000,795,14124
XII.47,"Pemasangan Instalasi Camera CCTV per titik",2,MAT,366200,396200,-30000,569,10181
XVI.15,"Pasang AC Baru 1/2 - 2 PK per Unit",1,MATERIAL+OH,2285100,1476100,+809000,796,14146
XII.47,"Pemasangan Instalasi Camera CCTV per titik",2,MATERIAL+OH,421100,455600,-34500,569,10181
XVI.15,"Pasang AC Baru 1/2 - 2 PK per Unit",2,MAT,1987100,1283600,+703500,796,14146
XII.47,"Pemasangan Instalasi Camera CCTV per titik",2,HARGA+OH,545700,580200,-34500,569,10181
XVI.15,"Pasang AC Baru 1/2 - 2 PK per Unit",2,HARGA+OH,2727000,1918000,+809000,796,14146
XII.47,"Pemasangan Instalasi Camera CCTV per titik",3,MAT,366200,396200,-30000,569,10181
XVI.15,"Pasang AC Baru 1/2 - 2 PK per Unit",3,MATERIAL+OH,2285100,1476100,+809000,796,14146
XII.47,"Pemasangan Instalasi Camera CCTV per titik",3,MATERIAL+OH,421100,455600,-34500,569,10181
XVI.15,"Pasang AC Baru 1/2 - 2 PK per Unit",4,MAT,1987100,1283600,+703500,796,14146
XII.47,"Pemasangan Instalasi Camera CCTV per titik",3,HARGA+OH,556700,591200,-34500,569,10181
XVI.15,"Pasang AC Baru 1/2 - 2 PK per Unit",4,HARGA+OH,2653900,1844800,+809100,796,14146
XII.47,"Pemasangan Instalasi Camera CCTV per titik",4,MAT,366200,396200,-30000,569,10181
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",1,JASA,118900,0,+118900,808,14373
XII.47,"Pemasangan Instalasi Camera CCTV per titik",4,MATERIAL+OH,421100,455600,-34500,569,10181
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",1,JASA+OH,136700,0,+136700,808,14373
XII.47,"Pemasangan Instalasi Camera CCTV per titik",4,HARGA+OH,525700,560200,-34500,569,10181
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",2,MAT,165593,0,+165593,808,14373
XII.50,"Pemasangan Power Amplifier 360 Watt per unit",3,JASA,89775,89774,+1,572,10243
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",2,MATERIAL+OH,190400,0,+190400,808,14373
XII.51,"Pemasangan Power Amplifier 240 Watt per unit",3,JASA,89775,89774,+1,573,10261
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",2,HARGA+OH,341000,0,+341000,808,14373
XII.52,"Pemasangan Power Amplifier 120 Watt per unit",3,JASA,89775,89774,+1,574,10279
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",3,JASA,140385,0,+140385,808,14373
XII.61,"Pemasangan Instalasi Horn Speaker per titik",3,JASA,89775,89774,+1,583,10442
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",3,JASA+OH,161400,0,+161400,808,14373
XII.62,"Pemasangan Instalasi Ceiling Speaker per titik",1,MAT,160408,166408,-6000,584,10466
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",4,MAT,165593,0,+165593,808,14373
XII.62,"Pemasangan Instalasi Ceiling Speaker per titik",1,MATERIAL+OH,184400,191300,-6900,584,10466
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",4,MATERIAL+OH,190400,0,+190400,808,14373
XII.62,"Pemasangan Instalasi Ceiling Speaker per titik",1,HARGA+OH,276400,283300,-6900,584,10466
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",4,HARGA+OH,318900,0,+318900,808,14373
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",1,JASA,161085,64000,+97085,14,164
