WorkCode,Uraian,Region,Kolom,"NILAI BENAR (web)","NILAI WORKBOOK",Selisih,"Baris di HSP","Baris blok di AHS"
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",4,JASA,150783,62283,+88500,14,164
XVI.15,"Pasang AC Baru 1/2 - 2 PK per Unit",4,MATERIAL+OH,2285100,1476100,+809000,796,14146
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",4,JASA+OH,173400,71600,+101800,14,164
XII.67,"Pemasangan Instalasi Outlet Data per titik",4,MAT,390520,422920,-32400,589,10564
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",4,HARGA+OH,173400,71600,+101800,14,164
XIII.9,"Pemasangan Urinoir per buah",1,HARGA+OH,4577200,4573500,+3700,618,11052
III.43,"Turap Bambu dari Geribig Bambu secara Manual, JAT < 0,5 m per m2",4,HARGA+OH,59100,59200,-100,121,1981
XIII.13,"Pemasangan Kran diameter ½"" atau ¾"" ex Onda per buah",4,MATERIAL+OH,134700,134500,+200,622,11124
VII.7,"Pemasangan Jendela Kaca rangka Aluminium; kaca 6mm per m2",2,HARGA+OH,979200,43100,+936100,230,3925
XIII.21,"Pemasangan Hand Shower + Kran Set per buah",3,MAT,2167162,2167000,+162,630,11263
VII.7,"Pemasangan Jendela Kaca rangka Aluminium; kaca 6mm per m2",3,HARGA+OH,981400,45300,+936100,230,3925
XIII.71,"Pemasangan Pipa Air Limbah Jenis Pipa Tanah, DN. 8"" (200 mm) per m",1,HARGA+OH,507800,397100,+110700,680,12164
VII.7,"Pemasangan Jendela Kaca rangka Aluminium; kaca 6mm per m2",4,HARGA+OH,974100,38000,+936100,230,3925
XV.35,"Box Culvert 40x40x100 dengan lantai kerja f'c 10 Mpa per m'",3,HARGA+OH,1275000,1144800,+130200,772,13793
VII.8,"Pemasangan Jendela Kaca rangka Aluminium; kaca 8mm per m2",2,HARGA+OH,1105700,43100,+1062600,231,3944
XV.39,"Box Culvert 100x100x100 dengan lantai kerja f'c 10 Mpa per m'",2,JASA+OH,1007500,240400,+767100,776,13865
VII.8,"Pemasangan Jendela Kaca rangka Aluminium; kaca 8mm per m2",3,HARGA+OH,1107900,45300,+1062600,231,3944
XVI.14,"Pasang AC Existing 1/2 - 2 PK per Unit",3,MAT,2606266,1902766,+703500,795,14124
VII.8,"Pemasangan Jendela Kaca rangka Aluminium; kaca 8mm per m2",4,HARGA+OH,1100600,38000,+1062600,231,3944
XVI.27,"Pagar Kawat Harmonika Rangka Besi Siku per m2",3,HARGA+OH,351800,0,+351800,808,14373
VII.16,"Pemasangan Kaca Tempered tebal 8 mm per m2",1,MAT,487362,481800,+5562,239,4091
XII.67,"Pemasangan Instalasi Outlet Data per titik",1,MATERIAL+OH,449000,486300,-37300,589,10564
VII.16,"Pemasangan Kaca Tempered tebal 8 mm per m2",1,MATERIAL+OH,560400,554000,+6400,239,4091
